C 15 x 50,14.7,15,0.716,3.72,0.65,12-1/8,1.4375,50,2-1/4,0.799,0.583,6.21,404,53.8,5.24,11,3.77,0.865,2.65,492,5.49,0.937
C 15 x 40,11.8,15,0.52,3.52,0.65,12-1/8,1.4375,40,2,0.778,0.767,6.56,348,46.5,5.45,9.17,3.34,0.883,1.45,410,5.71,0.927
C 15 x 33.9,9.95,15,0.4,3.4,0.65,12-1/8,1.4375,33.9,2,0.788,0.896,6.79,315,42,5.62,8.07,3.09,0.901,1.01,358,5.94,0.92
C 12 x 30,8.81,12,0.51,3.17,0.501,9-3/4,1.125,30,1-3/4,0.674,0.618,7.55,162,27,4.29,5.12,2.05,0.762,0.861,151,4.54,0.919
C 12 x 25,7.34,12,0.387,3.05,0.501,9-3/4,1.125,25,1-3/4,0.674,0.746,7.85,144,24,4.43,4.45,1.87,0.779,0.538,130,4.72,0.909
C 12 x 20.7,6.08,12,0.282,2.94,0.501,9-3/4,1.125,20.7,1-3/4,0.698,0.87,8.13,129,21.5,4.61,3.86,1.72,0.797,0.369,112,4.93,0.899
C 10 x 30,8.81,10,0.673,3.03,0.436,8,1,30,1-3/4,0.649,0.368,7.55,103,20.7,3.42,3.93,1.65,0.668,1.22,79.5,3.63,0.921
C 10 x 25,7.34,10,0.526,2.89,0.436,8,1,25,1-3/4,0.617,0.494,7.94,91.1,18.2,3.52,3.34,1.47,0.675,0.687,68.3,3.76,0.912
C 10 x 20,5.87,10,0.379,2.74,0.436,8,1,20,1-1/2,0.606,0.636,8.36,78.9,15.8,3.66,2.8,1.31,0.69,0.368,56.9,3.93,0.9
C 10 x 15.3,4.48,10,0.24,2.6,0.436,8,1,15.3,1-1/2,0.634,0.796,8.81,67.3,13.5,3.87,2.27,1.15,0.711,0.209,45.5,4.19,0.884
C 9 x 20,5.87,9,0.448,2.65,0.413,7,1,20,1-1/2,0.583,0.515,8.22,60.9,13.5,3.22,2.41,1.17,0.64,0.427,39.4,3.46,0.899
C 9 x 15,4.41,9,0.285,2.49,0.413,7,1,15,1-3/8,0.586,0.681,8.76,51,11.3,3.4,1.91,1.01,0.659,0.208,31,3.69,0.882
C 9 x 13.4,3.94,9,0.233,2.43,0.413,7,1,13.4,1-3/8,0.601,0.742,8.95,47.8,10.6,3.49,1.75,0.954,0.666,0.168,28.2,3.79,0.875
C 8 x 18.75,5.51,8,0.487,2.53,0.39,6-1/8,0.9375,18.75,1-1/2,0.565,0.431,8.12,43.9,11,2.82,1.97,1.01,0.598,0.434,25.1,3.05,0.894
C 8 x 13.75,4.04,8,0.303,2.34,0.39,6-1/8,0.9375,13.75,1-3/8,0.554,0.604,8.75,36.1,9.02,2.99,1.52,0.848,0.613,0.186,19.2,3.26,0.874
C 8 x 11.5,3.37,8,0.22,2.26,0.39,6-1/8,0.9375,11.5,1-3/8,0.572,0.697,9.08,32.5,8.14,3.11,1.31,0.775,0.623,0.13,16.5,3.41,0.862
C 7 x 14.75,4.33,7,0.419,2.3,0.366,5-1/4,0.875,14.75,1-3/8,0.532,0.441,8.31,27.2,7.78,2.51,1.37,0.772,0.561,0.267,13.1,2.75,0.875
C 7 x 12.25,3.6,7,0.314,2.19,0.366,5-1/4,0.875,12.25,1-1/4,0.525,0.538,8.71,24.2,6.92,2.6,1.16,0.696,0.568,0.161,11.2,2.86,0.862
C 7 x 9.8,2.87,7,0.21,2.09,0.366,5-1/4,0.875,9.8,1-1/4,0.541,0.647,9.14,21.2,6.07,2.72,0.957,0.617,0.578,0.0996,9.15,3.02,0.845
