S 24 x 121,35.5,24.5,0.8,8.05,1.09,20-1/2,2,0,121,4,1.86,2.79,3160,258,9.43,83,20.6,1.53,306,36.3,12.8,11400,47.1,103,46.2,153
S 24 x 106,31.1,24.5,0.62,7.87,1.09,20-1/2,2,0,106,4,1.86,2.86,2940,240,9.71,76.8,19.5,1.57,279,33.4,10.1,10500,46.1,98.8,46.2,139
S 24 x 100,29.3,24,0.745,7.25,0.87,20-1/2,1.75,0,100,4,1.59,3.81,2380,199,9.01,47.4,13.1,1.27,239,24,7.59,6340,41.9,66,32.7,119
S 24 x 90,26.5,24,0.625,7.13,0.87,20-1/2,1.75,0,90,4,1.6,3.87,2250,187,9.21,44.7,12.5,1.3,222,22.4,6.05,5980,41.2,63.8,32.7,110
S 24 x 80,23.5,24,0.5,7,0.87,20-1/2,1.75,0,80,4,1.61,3.94,2100,175,9.47,42,12,1.34,204,20.8,4.89,5620,40.5,61.6,32.7,101
S 20 x 96,28.2,20.3,0.8,7.2,0.92,16-3/4,1.75,0,96,4,1.63,3.06,1670,165,7.71,49.9,13.9,1.33,198,24.9,8.4,4690,34.9,57.8,28.5,98.3
S 20 x 86,25.3,20.3,0.66,7.06,0.92,16-3/4,1.75,0,86,4,1.63,3.13,1570,155,7.89,46.6,13.2,1.36,183,23.1,6.65,4380,34.2,55.5,28.5,91.1
S 20 x 75,22,20,0.635,6.39,0.795,16-3/4,1.625,0,75,3-1/2,1.43,3.94,1280,128,7.62,29.5,9.25,1.16,152,16.7,4.59,2720,30.7,38.9,21.9,75.6
S 20 x 66,19.4,20,0.505,6.26,0.795,16-3/4,1.625,0,66,3-1/2,1.44,4.02,1190,119,7.83,27.5,8.78,1.19,139,15.4,3.58,2540,30,37.3,21.9,69.1
S 18 x 70,20.5,18,0.711,6.25,0.691,15,1.5,0,70,3-1/2,1.36,4.17,923,103,6.7,24,7.69,1.08,124,14.3,4.1,1800,27,29.2,16.6,61.9
S 18 x 54.7,16,18,0.461,6,0.691,15,1.5,0,54.7,3-1/2,1.37,4.34,801,89,7.07,20.7,6.91,1.14,104,12.1,2.33,1550,26,26.9,16.6,51.8
S 15 x 50,14.7,15,0.55,5.64,0.622,12-1/4,1.375,0,50,3-1/2,1.26,4.28,485,64.7,5.75,15.6,5.53,1.03,77,9.99,2.12,806,20.3,17.8,11.4,38.2
