W 44 x 335,98.3,44,1.02,16,1.77,38-3/4,2.56,1.3125,335,05/01/2002,4.12,1.56,31100,1410,17.8,1200,151,3.5,1620,236,74.4,536000,168,1190,279,805
W 44 x 290,85.8,43.6,0.87,15.8,1.58,38-3/4,2.37,1.25,290,05/01/2002,4.1,1.74,27100,1240,17.8,1050,132,3.49,1420,206,51.5,464000,166,1040,248,704
W 44 x 285,83.8,44.02,1.024,11.811,1.772,38-5/8,2.6875,1.375,285,05/01/2002,2.95,2.1,24600,1120,17.1,490,83,2.42,1310,135,60,219000,125,653,204,657
W 44 x 262,77.2,43.3,0.79,15.8,1.42,38-3/4,2.21,1.1875,262,05/01/2002,4.07,1.94,24200,1120,17.7,927,118,3.46,1270,183,37.7,407000,165,922,222,630
W 44 x 248,72.8,43.62,0.865,11.811,1.575,38-5/8,2.5,1.3125,248,05/01/2002,2.96,2.34,21400,983,17.2,435,74,2.44,1150,118,40.7,192000,124,577,184,574
W 44 x 230,67.7,42.9,0.71,15.8,1.22,38-3/4,2.01,1.1875,230,05/01/2002,4.05,2.23,20800,971,17.5,796,101,3.43,1100,157,24.9,346000,164,789,191,546
W 44 x 224,65.8,43.31,0.787,11.811,1.416,38-5/8,2.3125,1.3125,224,05/01/2002,2.96,2.59,19200,889,17.1,391,66,2.44,1030,105,30,172000,124,517,166,517
W 44 x 198,58,42.91,0.709,11.811,1.22,38-5/8,2.125,1.25,198,05/01/2002,2.94,2.98,16700,776,16.9,336,57,2.41,902,90,20.1,146000,123,443,144,450
W 40 x 655,192,43.62,1.97,16.87,3.54,33-3/4,4.9375,2.25,655,05/01/2002,4.43,0.73,56500,2590,17.2,2860,339,3.86,3060,541,596,1140000,169,2520,534,1530
W 40 x 593,174,43,1.79,16.7,3.23,34,4.41,2.125,593,05/01/2002,4.38,0.8,50400,2340,17,2520,302,3.8,2760,481,445,996000,166,2240,478,1370
W 40 x 531,156,42.34,1.61,16.51,2.91,33-3/4,4.3125,2,531,05/01/2002,4.33,0.88,44300,2090,16.9,2200,266,3.75,2450,422,329,848000,163,1950,433,1230
W 40 x 503,148,42.1,1.54,16.4,2.76,34,3.94,2,503,05/01/2002,4.3,0.93,41700,1980,16.8,2050,250,3.72,2320,395,279,791000,161,1830,403,1150
W 40 x 480,140,41.81,1.46,16.36,2.64,33-3/4,4,2,480,05/01/2002,4.28,0.97,39500,1890,16.8,1940,237,3.72,2180,374,245,739000,160,1730,391,1090
W 40 x 466,137,42.44,1.67,12.64,2.95,34-3/16,4.125,2,466,05/01/2002,3.22,1.14,36300,1710,16.3,1010,160,2.72,2050,262,277,393000,125,1160,322,1030
