L 9 x 4 x 5/8,9,4,0.625,1.125,26.3,7.73,64.9,11.5,2.9,3.36,8.32,2.65,1.04,0.858,0.847,0.216,1.06,4.787,4.37,--
L 9 x 4 x 9/16,9,4,0.5625,1.0625,23.8,7,59.1,10.4,2.91,3.33,7.63,2.41,1.04,0.834,0.85,0.218,0.782,3.531,4.38,--
L 9 x 4 x 1/2,9,4,0.5,1,21.3,6.25,53.2,9.34,2.92,3.31,6.92,2.17,1.05,0.81,0.854,0.22,0.557,2.509,4.39,--
L 8 x 6 x 1,8,6,1,1.5,44.4,13.1,80.9,15.1,2.49,2.65,38.8,8.92,1.72,1.65,1.28,0.542,4.34,16.3,3.88,--
L 8 x 6 x 7/8,8,6,0.875,1.375,39.3,11.5,72.4,13.4,2.5,2.6,34.9,7.94,1.74,1.6,1.28,0.546,2.96,11.3,3.92,--
L 8 x 6 x 3/4,8,6,0.75,1.25,34,9.99,63.5,11.7,2.52,2.55,30.8,6.92,1.75,1.56,1.29,0.55,1.9,7.28,3.95,--
L 8 x 6 x 5/8,8,6,0.625,1.125,28.6,8.41,54.2,9.86,2.54,2.5,26.4,5.88,1.77,1.51,1.29,0.554,1.12,4.33,3.98,--
L 8 x 6 x 9/16,8,6,0.5625,1.0625,25.9,7.61,49.4,8.94,2.55,2.48,24.1,5.34,1.78,1.49,1.3,0.556,0.823,3.2,3.99,--
L 8 x 6 x 1/2,8,6,0.5,1,23.2,6.8,44.4,8.01,2.55,2.46,21.7,4.79,1.79,1.46,1.3,0.557,0.584,2.28,4.01,--
L 8 x 6 x 7/16,8,6,0.4375,0.9375,20.4,5.99,39.3,7.06,2.56,2.43,19.3,4.23,1.8,1.44,1.31,0.559,0.396,1.55,4.02,--
L 8 x 4 x 1,8,4,1,1.5,37.6,11.1,69.7,14,2.51,3.03,11.6,3.94,1.03,1.04,0.844,0.247,3.68,12.9,3.74,--
L 8 x 4 x 7/8,8,4,0.875,1.375,33.3,9.79,62.6,12.5,2.53,2.99,10.5,3.51,1.04,0.997,0.846,0.252,2.51,8.89,3.78,--
L 8 x 4 x 3/4,8,4,0.75,1.25,28.9,8.49,55,10.9,2.55,2.94,9.37,3.07,1.05,0.949,0.85,0.257,1.61,5.75,3.81,--
L 8 x 4 x 5/8,8,4,0.625,1.125,24.4,7.16,47,9.2,2.56,2.89,8.11,2.62,1.06,0.902,0.856,0.262,0.955,3.42,3.83,--
L 8 x 4 x 9/16,8,4,0.5625,1.0625,22.1,6.49,42.9,8.34,2.57,2.86,7.44,2.38,1.07,0.878,0.859,0.264,0.704,2.53,3.84,--
L 8 x 4 x 1/2,8,4,0.5,1,19.7,5.8,38.6,7.48,2.58,2.84,6.75,2.15,1.08,0.854,0.863,0.266,0.501,1.8,3.86,--
L 8 x 4 x 7/16,8,4,0.4375,0.9375,17.4,5.11,34.2,6.59,2.59,2.81,6.03,1.9,1.09,0.829,0.867,0.268,0.34,1.22,3.87,--
L 7 x 4 x 3/4,7,4,0.75,1.25,26.2,7.7,37.8,8.39,2.21,2.5,9,3.01,1.08,1,0.855,0.324,1.47,3.97,3.31,--
L 7 x 4 x 5/8,7,4,0.625,1.125,22.1,6.5,32.4,7.12,2.23,2.45,7.79,2.56,1.1,0.958,0.86,0.329,0.868,2.37,3.34,--
L 7 x 4 x 1/2,7,4,0.5,1,17.9,5.26,26.6,5.79,2.25,2.4,6.48,2.1,1.11,0.91,0.866,0.334,0.456,1.25,3.37,--
L 7 x 4 x 7/16,7,4,0.4375,0.9375,15.8,4.63,23.6,5.11,2.26,2.38,5.79,1.86,1.12,0.886,0.869,0.337,0.31,0.851,3.39,--
L 7 x 4 x 3/8,7,4,0.375,0.875,13.6,4,20.5,4.42,2.27,2.35,5.06,1.61,1.12,0.861,0.873,0.339,0.198,0.544,3.4,--
L 6 x 4 x 7/8,6,4,0.875,1.375,27.2,7.98,27.7,7.13,1.86,2.12,9.7,3.37,1.1,1.12,0.854,0.422,2.03,4.04,2.83,--
L 6 x 4 x 3/4,6,4,0.75,1.25,23.6,6.94,24.5,6.23,1.88,2.07,8.63,2.95,1.12,1.07,0.856,0.428,1.31,2.64,2.85,--
L 6 x 4 x 5/8,6,4,0.625,1.125,19.9,5.86,21,5.29,1.89,2.03,7.48,2.52,1.13,1.03,0.859,0.435,0.775,1.59,2.89,--
L 6 x 4 x 9/16,6,4,0.5625,1.0625,18.1,5.31,19.2,4.81,1.9,2,6.86,2.29,1.14,1,0.861,0.438,0.572,1.18,2.89,--
L 6 x 4 x 1/2,6,4,0.5,1,16.2,4.75,17.3,4.31,1.91,1.98,6.22,2.06,1.14,0.981,0.864,0.441,0.407,0.843,2.91,--
L 6 x 4 x 7/16,6,4,0.4375,0.9375,14.2,4.18,15.4,3.81,1.92,1.95,5.56,1.83,1.15,0.957,0.867,0.443,0.276,0.575,2.92,--
L 6 x 4 x 3/8,6,4,0.375,0.875,12.3,3.61,13.4,3.3,1.93,1.93,4.86,1.58,1.16,0.933,0.87,0.446,0.177,0.369,2.94,--
L 6 x 4 x 5/16,6,4,0.3125,0.8125,10.3,3.03,11.4,2.77,1.94,1.9,4.13,1.34,1.17,0.908,0.874,0.449,0.104,0.217,2.95,--
L 6 x 3 1/2 x 1/2,6,3.5,0.5,1,15.4,4.52,16.6,4.23,1.92,2.07,4.24,1.59,0.968,0.829,0.756,0.343,0.386,0.779,2.88,--
L 6 x 3 1/2 x 3/8,6,3.5,0.375,0.875,11.7,3.44,12.9,3.23,1.93,2.02,3.33,1.22,0.984,0.781,0.763,0.349,0.168,0.341,2.9,--
L 6 x 3 1/2 x 5/16,6,3.5,0.3125,0.8125,9.83,2.89,10.9,2.72,1.94,2,2.84,1.03,0.991,0.756,0.767,0.352,0.099,0.201,2.92,--
L 5 x 3 1/2 x 3/4,5,3.5,0.75,1.1875,19.8,5.82,13.9,4.26,1.55,1.74,5.52,2.2,0.974,0.993,0.744,0.464,1.09,1.52,2.36,--
L 5 x 3 1/2 x 5/8,5,3.5,0.625,1.0625,16.8,4.93,12,3.63,1.56,1.69,4.8,1.88,0.987,0.947,0.746,0.472,0.651,0.918,2.39,--
L 5 x 3 1/2 x 1/2,5,3.5,0.5,0.9375,13.6,4,9.96,2.97,1.58,1.65,4.02,1.55,1,0.901,0.75,0.479,0.343,0.491,2.42,--
