L 8 x 8 x 1 1/8,8,8,1.125,1.75,57.2,16.8,98.1,17.5,2.41,2.4,98.1,17.5,2.41,2.4,1.56,1,7.13,32.5,4.29,0.633
L 8 x 8 x 1,8,8,1,1.625,51.3,15.1,89.1,15.8,2.43,2.36,89.1,15.8,2.43,2.36,1.56,1,5.08,23.4,4.32,0.63
L 8 x 8 x 7/8,8,8,0.875,1.5,45.3,13.3,79.7,14,2.45,2.31,79.7,14,2.45,2.31,1.57,1,3.46,16.1,4.36,0.631
L 8 x 8 x 3/4,8,8,0.75,1.375,39.2,11.5,69.9,12.2,2.46,2.26,69.9,12.2,2.46,2.26,1.57,1,2.21,10.4,4.39,0.631
L 8 x 8 x 5/8,8,8,0.625,1.25,33,9.69,59.6,10.3,2.48,2.21,59.6,10.3,2.48,2.21,1.58,1,1.3,6.16,4.41,0.631
L 8 x 8 x 9/16,8,8,0.5625,1.1875,29.8,8.77,54.2,9.33,2.49,2.19,54.2,9.33,2.49,2.19,1.58,1,0.961,4.55,4.43,0.629
L 8 x 8 x 1/2,8,8,0.5,1.125,26.7,7.84,48.8,8.36,2.49,2.17,48.8,8.36,2.49,2.17,1.59,1,0.683,3.23,4.45,0.628
L 6 x 6 x 1,6,6,1,1.5,37.5,11,35.4,8.55,1.79,1.86,35.4,8.55,1.79,1.86,1.17,1,3.68,9.24,3.19,0.635
L 6 x 6 x 7/8,6,6,0.875,1.375,33.2,9.75,31.9,7.61,1.81,1.81,31.9,7.61,1.81,1.81,1.17,1,2.51,6.41,3.21,0.635
L 6 x 6 x 3/4,6,6,0.75,1.25,28.8,8.46,28.1,6.64,1.82,1.77,28.1,6.64,1.82,1.77,1.17,1,1.61,4.17,3.25,0.631
L 6 x 6 x 5/8,6,6,0.625,1.125,24.3,7.13,24.1,5.64,1.84,1.72,24.1,5.64,1.84,1.72,1.17,1,0.955,2.5,3.28,0.631
L 6 x 6 x 9/16,6,6,0.5625,1.0625,22,6.45,22,5.12,1.85,1.7,22,5.12,1.85,1.7,1.18,1,0.704,1.85,3.29,0.629
L 6 x 6 x 1/2,6,6,0.5,1,19.6,5.77,19.9,4.59,1.86,1.67,19.9,4.59,1.86,1.67,1.18,1,0.501,1.32,3.3,0.631
L 6 x 6 x 7/16,6,6,0.4375,0.9375,17.3,5.08,17.6,4.06,1.86,1.65,17.6,4.06,1.86,1.65,1.18,1,0.34,0.899,3.32,0.629
L 6 x 6 x 3/8,6,6,0.375,0.875,14.9,4.38,15.4,3.51,1.87,1.62,15.4,3.51,1.87,1.62,1.19,1,0.218,0.575,3.33,0.63
