HSS 20.00 x 0.500  ,20,19.07,0.465,104,28.5,1360,136,6.91,2720
HSS 20.00 x 0.375  ,20,19.302,0.349,78.7,21.5,1040,104,6.95,2080
HSS 18.00 x 0.500  ,18,17.07,0.465,93.5,25.6,985.0,109,6.2,1970
HSS 18.00 x 0.375  ,18,17.302,0.349,70.7,19.4,754.0,83.8,6.24,1510
HSS 16.00 x 0.500  ,16,15.07,0.465,82.8,22.7,685.0,85.7,5.49,1370
HSS 16.00 x 0.438  ,16,15.186,0.407,72.9,19.9,606.0,75.8,5.51,1210
HSS 16.00 x 0.375  ,16,15.302,0.349,62.6,17.2,526.0,65.7,5.53,1050
HSS 16.00 x 0.312  ,16,15.418,0.291,52.3,14.4,443.0,55.4,5.55,886.0
HSS 14.00 x 0.500  ,14,13.07,0.465,72.2,19.8,453.0,64.8,4.79,907.0
HSS 14.00 x 0.375  ,14,13.302,0.349,54.6,15,349.0,49.8,4.83,698.0
HSS 14.00 x 0.312  ,14,13.418,0.291,45.7,12.5,295.0,42.1,4.85,589.0
HSS 12.75 x 0.500  ,12.75,11.82,0.465,65.5,17.9,339.0,53.2,4.35,678.0
HSS 12.75 x 0.375  ,12.75,12.052,0.349,49.6,13.6,262.0,41,4.39,523.0
HSS 12.75 x 0.250  ,12.75,12.284,0.233,33.4,9.16,180.0,28.2,4.43,359.0
HSS 12.50 x 0.625  ,12.5,11.338,0.581,79.3,21.8,387.0,62,4.22,774.0
HSS 12.50 x 0.500  ,12.5,11.57,0.465,64.1,17.6,319.0,51,4.26,638.0
HSS 12.50 x 0.375  ,12.5,11.802,0.349,48.6,13.3,246.0,39.4,4.3,492.0
HSS 12.50 x 0.312  ,12.5,11.918,0.291,40.7,11.2,208.0,33.3,4.32,416.0
HSS 12.50 x 0.250  ,12.5,12.034,0.233,32.7,8.98,169.0,27,4.34,338.0
HSS 12.50 x 0.188  ,12.5,12.152,0.174,24.7,6.74,128.0,20.5,4.36,256.0
HSS 11.25 x 0.625  ,11.25,10.088,0.581,71,19.5,278.0,49.4,3.78,556.0
