HSS 32 x 32 x 5/8,32,32,0.625,259.83,76.4,12300,771,12.7,12300,771,12.7,890,890,19700
HSS 32 x 32 x 1/2,32,32,0.5,210.72,61.9,10100,634,12.8,10100,634,12.8,727,727,15900
HSS 32 x 32 x 3/8,32,32,0.375,159.37,46.8,7750,485,12.9,7750,485,12.9,553,553,12000
HSS 30 x 30 x 5/8,30,30,0.625,242.82,71.4,10100,673,11.9,10100,673,11.9,778,778,16200
HSS 30 x 30 x 1/2,30,30,0.5,197.11,57.9,8320,555,12,8320,555,12,637,637,13000
HSS 30 x 30 x 3/8,30,30,0.375,149.16,43.8,6370,424,12.1,6370,424,12.1,485,485,9870
HSS 28 x 28 x 5/8,28,28,0.625,225.8,66.4,8140,582,11.1,8140,582,11.1,674,674,13100
HSS 28 x 28 x 1/2,28,28,0.5,183.5,53.9,6730,480,11.2,6730,480,11.2,552,552,10600
HSS 28 x 28 x 3/8,28,28,0.375,138.95,40.8,5150,368,11.2,5150,368,11.2,421,421,8010
HSS 26 x 26 x 5/8,26,26,0.625,208.79,61.4,6460,497,10.3,6460,497,10.3,577,577,10500
HSS 26 x 26 x 1/2,26,26,0.5,169.89,49.9,5350,411,10.4,5350,411,10.4,474,474,8430
HSS 26 x 26 x 3/8,26,26,0.375,128.74,37.8,4110,316,10.4,4110,316,10.4,362,362,6400
HSS 24 x 24 x 5/8,24,24,0.625,191.78,56.4,5030,419,9.44,5030,419,9.44,487,487,8180
HSS 24 x 24 x 1/2,24,24,0.5,156.28,45.9,4170,348,9.53,4170,348,9.53,401,401,6610
HSS 24 x 24 x 3/8,24,24,0.375,118.53,34.8,3210,268,9.6,3210,268,9.6,307,307,5020
HSS 22 x 22 x 5/8,22,22,0.625,174.76,51.4,3820,347,8.62,3820,347,8.62,406,406,6260
HSS 22 x 22 x 1/2,22,22,0.5,142.67,41.9,3190,290,8.72,3190,290,8.72,335,335,5070
HSS 22 x 22 x 3/8,22,22,0.375,108.32,31.8,2460,223,8.78,2460,223,8.78,256,256,3850
HSS 20 x 20 x 5/8,20,20,0.625,157.75,46.4,2830,283,7.81,2830,283,7.81,331,331,4670
HSS 20 x 20 x 1/2,20,20,0.5,129.06,37.9,2370,237,7.9,2370,237,7.9,275,275,3790
HSS 20 x 20 x 3/8,20,20,0.375,98.12,28.8,1830,183,7.97,1830,183,7.97,211,211,2880
HSS 18 x 18 x 5/8,18,18,0.625,140.73,41.4,2020,224,6.99,2020,224,6.99,264,264,3370
HSS 18 x 18 x 1/2,18,18,0.5,115.45,33.9,1700,189,7.08,1700,189,7.08,220,220,2740
HSS 18 x 18 x 3/8,18,18,0.375,87.91,25.8,1320,147,7.15,1320,147,7.15,169,169,2090
HSS 16 x 16 x 5/8,16,16,0.581,127,35,1370,171,6.25,1370,171,6.25,200,200,2170
HSS 16 x 16 x 1/2,16,16,0.465,103,28.3,1130,141,6.31,1130,141,6.31,164,164,1770
HSS 16 x 16 x 3/8,16,16,0.349,78.4,21.5,873,109,6.37,873,109,6.37,126,126,1350
HSS 16 x 16 x 5/16,16,16,0.291,65.8,18.1,739,92.3,6.39,739,92.3,6.39,106,106,1140
HSS 14 x 14 x 5/8,14,14,0.581,110,30.3,897,128,5.44,897,128,5.44,151,151,1430
HSS 14 x 14 x 1/2,14,14,0.465,89.6,24.6,743,106,5.49,743,106,5.49,124,124,1170
HSS 14 x 14 x 3/8,14,14,0.349,68.2,18.7,577,82.5,5.55,577,82.5,5.55,95.4,95.4,900
HSS 14 x 14 x 5/16,14,14,0.291,57.3,15.7,490,69.9,5.58,490,69.9,5.58,80.5,80.5,759
HSS 12 x 12 x 5/8,12,12,0.581,93.1,25.7,548,91.4,4.62,548,91.4,4.62,109,109,885
HSS 12 x 12 x 1/2,12,12,0.465,75.9,20.9,457,76.2,4.68,457,76.2,4.68,89.6,89.6,728
HSS 12 x 12 x 3/8,12,12,0.349,58,16,357,59.5,4.73,357,59.5,4.73,69.2,69.2,561
HSS 12 x 12 x 5/16,12,12,0.291,48.8,13.4,304,50.7,4.76,304,50.7,4.76,58.6,58.6,474
HSS 12 x 12 x 1/4,12,12,0.233,39.4,10.8,248,41.4,4.79,248,41.4,4.79,47.6,47.6,384
HSS 10 x 10 x 5/8,10,10,0.581,76.1,21,304,60.8,3.8,304,60.8,3.8,73.2,73.2,498
HSS 10 x 10 x 1/2,10,10,0.465,62.3,17.2,256,51.2,3.86,256,51.2,3.86,60.7,60.7,412
HSS 10 x 10 x 3/8,10,10,0.349,47.8,13.2,202,40.4,3.92,202,40.4,3.92,47.2,47.2,320
HSS 10 x 10 x 5/16,10,10,0.291,40.3,11.1,172,34.5,3.94,172,34.5,3.94,40.1,40.1,271
HSS 10 x 10 x 1/4,10,10,0.233,32.6,8.96,141,28.3,3.97,141,28.3,3.97,32.7,32.7,220
HSS 10 x 10 x 3/16,10,10,0.174,24.7,6.76,108,21.6,4,108,21.6,4,24.8,24.8,167
HSS 8 x 8 x 5/8,8,8,0.581,59.1,16.4,146,36.5,2.99,146,36.5,2.99,44.7,44.7,244
HSS 8 x 8 x 1/2,8,8,0.465,48.7,13.5,125,31.2,3.04,125,31.2,3.04,37.5,37.5,204
HSS 8 x 8 x 3/8,8,8,0.349,37.6,10.4,99.6,24.9,3.1,99.6,24.9,3.1,29.4,29.4,160
HSS 8 x 8 x 5/16,8,8,0.291,31.8,8.76,85.6,21.4,3.13,85.6,21.4,3.13,25.1,25.1,136
HSS 8 x 8 x 1/4,8,8,0.233,25.8,7.1,70.7,17.7,3.15,70.7,17.7,3.15,20.5,20.5,111
HSS 8 x 8 x 3/16,8,8,0.174,19.6,5.37,54.4,13.6,3.18,54.4,13.6,3.18,15.7,15.7,84.5
HSS 7 x 7 x 5/8,7,7,0.581,50.6,14,93.4,26.7,2.58,93.4,26.7,2.58,33.1,33.1,158
HSS 7 x 7 x 1/2,7,7,0.465,41.9,11.6,80.5,23,2.63,80.5,23,2.63,27.9,27.9,133
HSS 7 x 7 x 3/8,7,7,0.349,32.5,8.97,65,18.6,2.69,65,18.6,2.69,22.1,22.1,105
HSS 7 x 7 x 5/16,7,7,0.291,27.5,7.59,56.1,16,2.72,56.1,16,2.72,18.9,18.9,89.7
HSS 7 x 7 x 1/4,7,7,0.233,22.4,6.17,46.5,13.3,2.75,46.5,13.3,2.75,15.5,15.5,73.5
HSS 7 x 7 x 3/16,7,7,0.174,17.1,4.67,36,10.3,2.77,36,10.3,2.77,11.9,11.9,56.1
HSS 6 x 6 x 5/8,6,6,0.581,42.1,11.7,55.2,18.4,2.17,55.2,18.4,2.17,23.2,23.2,94.9
HSS 6 x 6 x 1/2,6,6,0.465,35.1,9.74,48.3,16.1,2.23,48.3,16.1,2.23,19.8,19.8,81.1
HSS 6 x 6 x 3/8,6,6,0.349,27.4,7.58,39.5,13.2,2.28,39.5,13.2,2.28,15.8,15.8,64.6
HSS 6 x 6 x 5/16,6,6,0.291,23.3,6.43,34.3,11.4,2.31,34.3,11.4,2.31,13.6,13.6,55.4
HSS 6 x 6 x 1/4,6,6,0.233,19,5.24,28.6,9.54,2.34,28.6,9.54,2.34,11.2,11.2,45.6
HSS 6 x 6 x 3/16,6,6,0.174,14.5,3.98,22.3,7.42,2.37,22.3,7.42,2.37,8.63,8.63,35
HSS 6 x 6 x 1/8,6,6,0.116,9.85,2.7,15.5,5.15,2.39,15.5,5.15,2.39,5.92,5.92,23.9
HSS 5.5 x 5.5 x 3/8,5.5,5.5,0.349,24.9,6.88,29.7,10.8,2.08,29.7,10.8,2.08,13.1,13.1,49
