WT 22 x 167.5,49.1,22,1.02,16,1.77,2.56,167.5,2160,131,6.63,5.51,600,75.3,3.5,37.1,434,8.81,0.724
WT 22 x 145,42.9,21.8,0.87,15.8,1.58,2.37,145,1840,111,6.55,5.27,523,66.1,3.49,25.7,279,8.67,0.733
WT 22 x 131,38.6,21.7,0.79,15.8,1.42,2.21,131,1650,100,6.53,5.2,463,58.8,3.46,18.8,204,8.65,0.731
WT 22 x 115,33.8,21.5,0.71,15.8,1.22,2.01,115,1440,88.6,6.53,5.17,398,50.5,3.43,12.4,139,8.67,0.723
WT 20 x 296.5,87.2,21.5,1.79,16.7,3.23,4.41,296.5,3310,209,6.16,5.66,1260,151,3.8,221,2340,8.29,0.762
WT 20 x 251.5,74,21,1.54,16.4,2.76,3.94,251.5,2730,175,6.07,5.39,1020,125,3.72,139,1420,8.17,0.759
WT 20 x 233,68.4,21.22,1.67,12.64,2.95,4.125,233,2770,185,6.36,6.22,504,79.8,2.72,139,1360,8.39,0.68
WT 20 x 215.5,63.4,20.6,1.34,16.2,2.36,3.54,215.5,2290,148,6.01,5.18,843,104,3.65,88.2,881,8.09,0.756
WT 20 x 198.5,58.4,20.5,1.22,16.1,2.2,3.38,198.5,2070,134,5.96,5.03,771,95.7,3.63,70.6,677,8.01,0.759
WT 20 x 196,57.7,20.8,1.42,12.4,2.52,3.7,196,2270,153,6.28,5.95,401,64.9,2.64,85.6,802,8.26,0.678
WT 20 x 186,54.7,20.3,1.16,16.1,2.05,3.23,186,1930,126,5.95,4.97,710,88.4,3.6,58,559,7.99,0.756
WT 20 x 181,53.3,20.3,1.12,16,2.01,3.19,181,1870,122,5.92,4.91,691,86.3,3.6,54.2,511,7.96,0.759
WT 20 x 165.5,48.7,20.4,1.22,12.2,2.13,3.31,165.5,1880,128,6.21,5.74,322,52.9,2.57,52.6,485,8.19,0.674
WT 20 x 163.5,48,20.4,1.18,12.1,2.13,3.31,163.5,1840,125,6.19,5.66,320,52.7,2.58,51.4,449,8.13,0.681
WT 20 x 162,47.7,20.1,1,15.9,1.81,2.99,162,1650,108,5.88,4.77,609,76.6,3.57,39.6,362,7.89,0.76
WT 20 x 160.5,47,20.04,1,15.91,1.77,2.9375,160.5,1630,107,5.89,4.79,596,74.9,3.56,37.7,350,7.92,0.756
WT 20 x 148.5,43.7,19.9,0.93,15.8,1.65,2.83,148.5,1500,98.9,5.87,4.71,546,69,3.54,30.5,279,7.87,0.756
WT 20 x 139,40.9,20.1,1.02,12,1.81,2.99,139,1540,106,6.14,5.5,260,43.5,2.52,32.2,278,8.07,0.676
WT 20 x 138.5,40.7,19.8,0.83,15.8,1.58,2.76,138.5,1360,88.6,5.78,4.5,522,65.9,3.58,25.7,218,7.75,0.771
WT 20 x 132,38.8,20,0.96,11.9,1.73,2.91,132,1450,99.2,6.11,5.41,246,41.3,2.52,27.9,233,8.02,0.679
WT 20 x 124.5,36.7,19.7,0.75,15.8,1.42,2.6,124.5,1210,79.4,5.75,4.41,463,58.8,3.55,19,158,7.7,0.769
WT 20 x 117.5,34.5,19.8,0.83,11.9,1.58,2.76,117.5,1260,85.7,6.04,5.17,222,37.3,2.54,20.6,156,7.88,0.691
WT 20 x 107.5,31.7,19.5,0.65,15.8,1.22,2.4,107.5,1030,68,5.71,4.28,398,50.5,3.54,12.4,101,7.65,0.77
WT 20 x 105.5,31,19.7,0.75,11.8,1.42,2.6,105.5,1120,76.7,6.01,5.08,195,33,2.51,15.2,113,7.84,0.689
WT 20 x 99.5,29.2,19.3,0.65,15.8,1.07,2.25,99.5,988,66.5,5.81,4.47,347,44.1,3.45,9.12,83.5,7.82,0.747
WT 20 x 91.5,26.9,19.5,0.65,11.8,1.22,2.4,91.5,958,65.8,5.97,4.93,168,28.5,2.5,10,72.1,7.78,0.692
WT 20 x 87,25.5,19.1,0.65,15.75,0.83,2,87,907,63.8,5.96,4.87,271,34.4,3.26,5.6,65.3,8.12,0.699
WT 20 x 83.5,24.6,19.3,0.65,11.8,1.02,2.21,83.5,899,63.7,6.05,5.19,141,23.9,2.4,6.99,62.9,8.01,0.659
WT 20 x 74.5,21.9,19.1,0.63,11.8,0.83,2.01,74.5,815,59.7,6.1,5.45,114,19.4,2.29,4.66,51.9,8.23,0.626
WT 18 x 424,125,21.225,2.52,18.13,4.53,5.6875,424,4250,277,5.84,5.86,2270,251,4.27,622,6880,8.08,0.802
WT 18 x 399,117,21,2.38,18,4.29,5.24,399,3930,257,5.79,5.71,2100,234,4.23,523,5700,8.02,0.802
WT 18 x 325,95.5,20.2,1.97,17.6,3.54,4.49,325,3030,203,5.64,5.26,1610,183,4.11,294,3010,7.8,0.8
WT 18 x 263.5,77.4,19.6,1.61,17.2,2.91,3.86,263.5,2340,159,5.5,4.87,1240,145,4.01,163,1570,7.61,0.799
WT 18 x 219.5,64.5,19.1,1.36,17,2.44,3.39,219.5,1890,130,5.41,4.6,996,117,3.93,96.3,894,7.49,0.796
WT 18 x 196.5,57.8,18.9,1.22,16.8,2.2,3.15,196.5,1660,115,5.37,4.44,877,104,3.89,70.5,637,7.42,0.797
WT 18 x 179.5,52.7,18.7,1.12,16.7,2.01,2.96,179.5,1500,104,5.33,4.33,786,94,3.86,54,480,7.38,0.797
WT 18 x 164,48.2,18.5,1.02,16.6,1.85,2.8,164,1350,94.1,5.29,4.21,711,85.5,3.84,41.9,363,7.32,0.799
WT 18 x 150,44.1,18.4,0.945,16.7,1.68,2.63,150,1230,86.1,5.27,4.13,648,77.8,3.83,32,278,7.31,0.797
WT 18 x 140,41.2,18.3,0.885,16.6,1.57,2.52,140,1140,80,5.25,4.07,599,72.2,3.81,26.2,226,7.28,0.796
WT 18 x 130,38.2,18.1,0.84,16.6,1.44,2.39,130,1060,75.1,5.26,4.05,545,65.8,3.77,20.7,181,7.29,0.791
WT 18 x 128,37.7,18.7,0.96,12.2,1.73,2.48,128,1210,87.4,5.66,4.92,264,43.2,2.65,26.4,205,7.45,0.704
WT 18 x 122.5,36,18,0.8,16.5,1.35,2.3,122.5,995,71,5.26,4.03,507,61.4,3.75,17.3,151,7.28,0.788
WT 19 x 116,34.1,18.6,0.87,12.1,1.57,2.32,116,1080,78.5,5.63,4.82,234,38.6,2.62,19.7,151,7.4,0.703
WT 18 x 115,33.8,18,0.76,16.5,1.26,2.21,115,934,67,5.25,4.01,470,57,3.73,14.3,125,7.28,0.784
WT 18 x 105,30.9,18.3,0.83,12.2,1.36,2.11,105,985,73.1,5.65,4.87,206,33.8,2.58,13.9,119,7.49,0.687
WT 18 x 97,28.5,18.2,0.765,12.1,1.26,2.01,97,901,67,5.62,4.8,187,30.9,2.56,11.1,92.7,7.45,0.687
WT 18 x 91,26.8,18.2,0.725,12.1,1.18,1.93,91,845,63.1,5.62,4.77,174,28.8,2.55,9.2,77.6,7.45,0.685
WT 18 x 85,25,18.1,0.68,12,1.1,1.85,85,786,58.9,5.61,4.73,160,26.6,2.53,7.51,63.2,7.44,0.684
WT 18 x 80,23.5,18,0.65,12,1.02,1.77,80,740,55.8,5.61,4.74,147,24.6,2.5,6.17,53.6,7.46,0.678
WT 18 x 75,22.1,17.9,0.625,12,0.94,1.69,75,698,53.1,5.62,4.78,135,22.5,2.47,5.04,46,7.5,0.67
WT 18 x 67.5,19.9,17.8,0.6,12,0.79,1.54,67.5,637,49.7,5.66,4.96,113,18.9,2.38,3.48,37.3,7.65,0.644
WT 16.5 x 193.5,57,18,1.26,16.2,2.28,3.07,193.5,1460,107,5.07,4.27,810,100,3.77,73.9,615,7.04,0.802
WT 16.5 x 177,52.1,17.8,1.16,16.1,2.09,2.88,177,1320,96.8,5.03,4.15,729,90.6,3.74,57.1,468,7,0.803
WT 16.5 x 159,46.8,17.6,1.04,16,1.89,2.68,159,1160,85.8,4.99,4.02,645,80.7,3.71,42.1,335,6.93,0.803
WT 16.5 x 145.5,42.8,17.4,0.96,15.9,1.73,2.52,145.5,1060,78.3,4.96,3.93,581,73.1,3.68,32.5,256,6.91,0.803
WT 16.5 x 131.5,38.7,17.3,0.87,15.8,1.57,2.36,131.5,943,70.2,4.93,3.83,517,65.5,3.65,24.3,188,6.86,0.803
WT 16.5 x 120.5,35.5,17.1,0.83,15.9,1.4,2.19,120.5,872,65.8,4.96,3.84,466,58.8,3.62,18,146,6.9,0.793
WT 16.5 x 110.5,32.6,17,0.775,15.8,1.27,2.06,110.5,799,60.8,4.95,3.81,420,53.2,3.59,13.9,113,6.89,0.788
WT 16.5 x 100.5,29.6,16.8,0.715,15.7,1.15,1.94,100.5,725,55.5,4.95,3.77,375,47.6,3.56,10.4,84.9,6.88,0.784
WT 16.5 x 84.5,24.8,16.9,0.67,11.5,1.22,1.92,84.5,649,51.1,5.12,4.21,155,27,2.5,8.81,55.4,6.74,0.715
WT 16.5 x 76,22.4,16.7,0.635,11.6,1.06,1.76,76,592,47.4,5.14,4.26,136,23.6,2.47,6.16,43,6.81,0.7
WT 16.5 x 70.5,20.8,16.7,0.605,11.5,0.96,1.66,70.5,552,44.7,5.15,4.29,123,21.3,2.43,4.84,35.4,6.85,0.691
WT 16.5 x 65,19.2,16.5,0.58,11.5,0.855,1.56,65,513,42.1,5.18,4.36,109,18.9,2.38,3.67,29.3,6.92,0.677
WT 16.5 x 59,17.3,16.4,0.55,11.5,0.74,1.44,59,469,39.2,5.2,4.47,93.5,16.3,2.32,2.64,23.4,7.02,0.659
WT 15 x 238.5,70,17.105,1.63,15.865,2.95,3.75,238.5,1550,121,4.7,4.3,987,124,3.75,151,1170,6.65,0.819
WT 15 x 195.5,57.6,16.6,1.36,15.6,2.44,3.23,195.5,1220,96.9,4.61,4,774,99.2,3.67,86.3,636,6.51,0.818
WT 15 x 178.5,52.5,16.4,1.24,15.5,2.24,3.03,178.5,1090,87.2,4.56,3.87,693,89.6,3.64,66.6,478,6.44,0.818
WT 15 x 163,47.9,16.2,1.14,15.4,2.05,2.84,163,981,78.8,4.52,3.76,622,81,3.6,51.2,361,6.4,0.817
WT 15 x 146,42.9,16,1.02,15.3,1.85,2.64,146,861,69.6,4.48,3.62,549,71.9,3.58,37.5,257,6.33,0.819
