2L 203 x 203 x 29,203.2,203.2,28.58,44.45,169.65,216.77,8158.14,573.55,6.12,6.1,8.66,8.99,9.35,11.58,0.84
2L 203 x 203 x 25,203.2,203.2,25.4,41.28,153.28,194.84,7408.92,517.83,6.17,5.99,8.61,8.94,9.3,11.58,0.83
2L 203 x 203 x 22,203.2,203.2,22.23,38.1,134.83,171.61,6618.08,458.84,6.22,5.87,8.53,8.89,9.22,11.58,0.83
2L 203 x 203 x 19,203.2,203.2,19.05,34.93,116.67,148.39,5827.24,399.85,6.25,5.74,8.48,8.81,9.17,11.58,0.83
2L 203 x 203 x 16,203.2,203.2,15.88,31.75,98.22,125.16,4953.15,337.57,6.3,5.61,8.43,8.76,9.09,11.58,0.83
2L 203 x 203 x 14,203.2,203.2,14.29,30.16,88.84,112.9,4495.3,306.44,6.32,5.56,8.41,8.74,9.07,11.58,0.83
2L 203 x 203 x 13,203.2,203.2,12.7,28.58,79.32,101.29,4058.26,273.66,6.32,5.51,8.38,8.71,9.04,11.58,0.82
2L 152 x 152 x 25,152.4,152.4,25.4,38.1,111.61,141.94,2946.92,280.22,4.55,4.72,6.55,6.91,7.26,8.69,0.84
2L 152 x 152 x 22,152.4,152.4,22.23,34.93,98.81,125.81,2655.56,249.08,4.6,4.6,6.5,6.86,7.21,8.69,0.84
2L 152 x 152 x 19,152.4,152.4,19.05,31.75,85.72,109.03,2339.22,217.95,4.62,4.5,6.45,6.78,7.14,8.69,0.84
2L 152 x 152 x 16,152.4,152.4,15.88,28.58,72.18,92.26,2006.24,185.17,4.67,4.37,6.4,6.73,7.09,8.69,0.83
2L 152 x 152 x 14,152.4,152.4,14.29,26.99,65.33,83.23,1835.58,167.15,4.7,4.32,6.38,6.71,7.06,8.69,0.83
2L 152 x 152 x 13,152.4,152.4,12.7,25.4,58.48,74.19,1652.44,150.43,4.72,4.24,6.35,6.68,7.01,8.69,0.83
2L 152 x 152 x 11,152.4,152.4,11.11,23.81,51.49,65.81,1469.3,132.9,4.72,4.19,6.32,6.65,6.99,8.69,0.83
2L 152 x 152 x 10,152.4,152.4,9.53,22.23,44.35,56.52,1277.83,114.87,4.75,4.11,6.3,6.6,6.96,8.69,0.82
2L 152 x 152 x 8,152.4,152.4,7.94,20.64,37.2,47.35,1082.2,96.68,4.78,4.06,6.27,6.58,6.91,8.69,0.82
2L 127 x 127 x 22,127,127,22.23,34.93,81.25,103.23,1477.62,168.79,3.78,3.96,5.49,5.84,6.2,7.24,0.85
2L 127 x 127 x 19,127,127,19.05,31.75,70.69,90.32,1311.13,148.14,3.81,3.86,5.41,5.77,6.12,7.24,0.84
2L 127 x 127 x 16,127,127,15.88,28.58,59.68,76.13,1132.15,126.18,3.86,3.73,5.36,5.72,6.07,7.24,0.84
2L 127 x 127 x 13,127,127,12.7,25.4,48.51,61.81,936.52,103.07,3.89,3.61,5.31,5.64,5.99,7.24,0.83
2L 127 x 127 x 11,127,127,11.11,23.81,42.71,54.45,836.63,91.28,3.91,3.56,5.28,5.61,5.97,7.24,0.83
2L 127 x 127 x 10,127,127,9.53,22.23,36.91,47.1,728.4,79.15,3.94,3.48,5.26,5.59,5.94,7.21,0.83
2L 127 x 127 x 8,127,127,7.94,20.64,31.1,39.55,620.18,66.7,3.96,3.43,5.23,5.56,5.89,7.21,0.83
2L 102 x 102 x 19,101.6,101.6,19.05,28.58,55.06,70.32,632.67,91.44,3,3.23,4.39,4.78,5.16,5.79,0.85
2L 102 x 102 x 16,101.6,101.6,15.88,25.4,46.58,59.42,549.43,78.17,3.05,3.1,4.34,4.7,5.08,5.79,0.84
2L 102 x 102 x 13,101.6,101.6,12.7,22.23,37.95,48.32,457.85,64.07,3.07,3,4.29,4.65,5,5.79,0.83
2L 102 x 102 x 11,101.6,101.6,11.11,20.64,33.48,42.65,410.82,56.86,3.1,2.92,4.27,4.6,4.98,5.79,0.83
2L 102 x 102 x 10,101.6,101.6,9.53,19.05,28.87,36.84,359.62,49.33,3.12,2.87,4.24,4.57,4.93,5.79,0.83
2L 102 x 102 x 8,101.6,101.6,7.94,17.46,24.26,30.97,305.93,41.62,3.15,2.82,4.22,4.55,4.9,5.79,0.83
2L 102 x 102 x 6,101.6,101.6,6.35,15.88,19.64,24.97,249.74,33.59,3.18,2.74,4.19,4.52,4.85,5.79,0.82
2L 89 x 89 x 13,88.9,88.9,12.7,22.23,33.04,42.13,301.77,48.51,2.67,2.67,3.78,4.14,4.5,5.05,0.84
2L 89 x 89 x 11,88.9,88.9,11.11,20.64,29.17,37.23,270.97,43.1,2.69,2.62,3.76,4.09,4.47,5.05,0.84
2L 89 x 89 x 10,88.9,88.9,9.53,19.05,25.3,32.26,238.08,37.53,2.72,2.54,3.73,4.06,4.42,5.05,0.83
2L 89 x 89 x 8,88.9,88.9,7.94,17.46,21.28,27.16,203.54,31.79,2.74,2.49,3.71,4.04,4.39,5.05,0.83
2L 89 x 89 x 6,88.9,88.9,6.35,15.88,17.26,22,166.91,25.73,2.77,2.42,3.66,3.99,4.37,5.05,0.83
2L 76 x 76 x 13,76.2,76.2,12.7,22.23,27.83,35.48,183.56,34.9,2.27,2.36,3.28,3.63,4.01,4.34,0.84
2L 76 x 76 x 11,76.2,76.2,11.11,20.64,24.7,31.35,164.83,30.97,2.29,2.3,3.25,3.61,3.99,4.34,0.84
2L 76 x 76 x 10,76.2,76.2,9.53,19.05,21.28,27.23,145.26,27.04,2.31,2.25,3.23,3.58,3.94,4.34,0.83
2L 76 x 76 x 8,76.2,76.2,7.94,17.46,18.01,22.9,124.45,22.94,2.33,2.18,3.2,3.53,3.91,4.34,0.83
2L 76 x 76 x 6,76.2,76.2,6.35,15.88,14.54,18.52,102.39,18.68,2.35,2.12,3.18,3.51,3.86,4.34,0.83
2L 76 x 76 x 5,76.2,76.2,4.76,14.29,11.03,14.06,79.08,14.21,2.37,2.06,3.15,3.48,3.84,4.34,0.82
2L 64 x 64 x 13,63.5,63.5,12.7,19.05,22.77,29.03,101.14,23.43,1.87,2.04,2.77,3.12,3.53,3.63,0.85
2L 64 x 64 x 10,63.5,63.5,9.53,15.88,17.56,22.39,80.75,18.35,1.9,1.93,2.72,3.07,3.45,3.61,0.84
2L 64 x 64 x 8,63.5,63.5,7.94,14.29,14.82,18.9,69.51,15.55,1.92,1.87,2.67,3.02,3.4,3.61,0.83
2L 64 x 64 x 6,63.5,63.5,6.35,12.7,12.01,15.29,57.44,12.67,1.94,1.81,2.64,3,3.38,3.61,0.83
2L 64 x 64 x 5,63.5,63.5,4.76,11.11,9.12,11.61,44.54,9.67,1.96,1.74,2.62,2.97,3.33,3.61,0.83
