CE 381 x 74.4,94.8,381,18.2,94,16.5,308,37,74.4,57,20.2946,14.8,2.44,16815.7,882,13.31,458,62,2.2,110.3,132119.6,13.9,0.937
CE 381 x 59.5,76.1,381,13.2,89,16.5,308,37,59.5,51,19.7612,19.5,2.58,14484.9,762,13.84,382,55,2.2,60.4,110099.7,14.5,0.927
CE 381 x 50.4,64.2,381,10.2,86,16.5,308,37,50.4,51,20.0152,22.8,2.67,13111.3,688,14.27,336,51,2.3,42.0,96135.8,15.1,0.92
CE 305 x 44.6,56.8,305,13.0,81,12.7,248,29,44.6,44,17.1196,15.7,2.97,6742.9,442,10.90,213,34,1.9,35.8,40548.9,11.5,0.919
CE 305 x 37.2,47.4,305,9.8,77,12.7,248,29,37.2,44,17.1196,18.9,3.09,5993.7,393,11.25,185,31,2.0,22.4,34909.7,12.0,0.909
CE 305 x 30.8,39.2,305,7.2,75,12.7,248,29,30.8,44,17.7292,22.1,3.20,5369.4,352,11.71,161,28,2.0,15.4,30076.0,12.5,0.899
CE 254 x 44.6,56.8,254,17.1,77,11.1,203,25,44.6,44,16.4846,9.3,2.97,4287.2,339,8.69,164,27,1.7,50.8,21348.6,9.2,0.921
CE 254 x 37.2,47.4,254,13.4,73,11.1,203,25,37.2,44,15.6718,12.5,3.13,3791.9,298,8.94,139,24,1.7,28.6,18341.0,9.6,0.912
CE 254 x 29.8,37.9,254,9.6,70,11.1,203,25,29.8,38,15.3924,16.2,3.29,3284.1,259,9.30,117,21,1.8,15.3,15279.7,10.0,0.9
CE 254 x 22.8,28.9,254,6.1,66,11.1,203,25,22.8,38,16.1036,20.2,3.47,2801.2,221,9.83,94,19,1.8,8.7,12218.4,10.6,0.884
CE 229 x 29.8,37.9,229,11.4,67,10.5,178,25,29.8,38,14.8082,13.1,3.24,2534.8,221,8.18,100,19,1.6,17.8,10580.3,8.8,0.899
CE 229 x 22.3,28.5,229,7.2,63,10.5,178,25,22.3,35,14.8844,17.3,3.45,2122.8,185,8.64,80,17,1.7,8.7,8324.6,9.4,0.882
CE 229 x 19.9,25.4,229,5.9,62,10.5,178,25,19.9,35,15.2654,18.8,3.52,1989.6,174,8.86,73,16,1.7,7.0,7572.7,9.6,0.875
CE 203 x 27.9,35.5,203,12.4,64,9.9,156,24,27.9,38,14.351,10.9,3.20,1827.3,180,7.16,82,17,1.5,18.1,6740.3,7.7,0.894
CE 203 x 20.5,26.1,203,7.7,59,9.9,156,24,20.5,35,14.0716,15.3,3.44,1502.6,148,7.59,63,14,1.6,7.7,5155.9,8.3,0.874
CE 203 x 17.1,21.7,203,5.6,57,9.9,156,24,17.1,35,14.5288,17.7,3.57,1352.8,133,7.90,55,13,1.6,5.4,4430.8,8.7,0.862
CE 178 x 22,27.9,178,10.6,58,9.3,133,22,22.0,35,13.5128,11.2,3.27,1132.1,127,6.38,57,13,1.4,11.1,3517.8,7.0,0.875
CE 178 x 18.2,23.2,178,8.0,56,9.3,133,22,18.2,32,13.335,13.7,3.43,1007.3,113,6.60,48,11,1.4,6.7,3007.6,7.3,0.862
CE 178 x 14.6,18.5,178,5.3,53,9.3,133,22,14.6,32,13.7414,16.4,3.60,882.4,99,6.91,40,10,1.5,4.1,2457.1,7.7,0.845
CE 152 x 19.3,24.6,152,11.1,55,8.7,111,21,19.3,35,13.0556,9.7,3.19,720.1,95,5.41,44,10,1.3,9.9,1930.8,6.0,0.858
CE 152 x 15.6,19.9,152,8.0,52,8.7,111,21,15.6,29,12.7,12.3,3.38,628.5,83,5.64,36,9,1.3,5.3,1587.0,6.3,0.842
CE 152 x 12.2,15.4,152,5.1,49,8.7,111,21,12.2,29,13.0048,15.2,3.58,545.3,71,5.94,29,8,1.4,3.1,1262.1,6.7,0.824
CE 127 x 13.4,17.0,127,8.3,48,8.1,89,19,13.4,29,12.1412,10.8,3.26,370.0,58,4.65,26,7,1.2,4.5,786.8,5.3,0.815
CE 127 x 10,12.7,127,4.8,44,8.1,89,19,10.0,25,12.2936,14.0,3.52,311.3,49,4.95,20,6,1.2,2.3,596.1,5.7,0.79
CE 102 x 10.8,13.7,102,8.2,44,7.5,64,19,10.8,25,11.6586,9.8,3.09,190.6,38,3.73,18,6,1.1,3.4,333.0,4.4,0.767
CE 102 x 8,10.2,102,4.7,40,7.5,64,19,8.0,-,11.6078,12.7,3.35,160.2,31,3.96,13,5,1.1,1.7,247.3,4.8,0.742
CE 102 x 6.7,8.9,102,3.2,40,7.5,64,19,6.7,-,12.5222,14.9,3.37,151.9,30,4.14,12,4,1.2,1.3,233.9,5.1,0.71
CE 76 x 8.9,11.4,76,9.0,41,6.9,41,17,8.9,-,11.557,8.2,2.70,86.2,23,2.74,12,4,1.0,3.0,124.1,3.6,0.69
CE 76 x 7.4,9.5,76,6.6,38,6.9,41,17,7.4,-,11.1506,10.0,2.88,77.0,20,2.84,10,4,1.0,1.8,101.8,3.7,0.673
CE 76 x 6.1,7.7,76,4.3,36,6.9,41,17,6.1,-,11.0998,11.7,3.06,68.7,18,2.97,8,3,1.0,1.1,82.4,3.9,0.655
CE 76 x 5.2,7.0,76,3.4,35,6.9,41,17,5.2,-,11.2522,12.5,3.16,65.3,17,3.05,7,3,1.0,0.9,74.1,4.0,0.646
CE 457 x 86.3,110.3,457,17.8,107,15.9,29,37,86.3,64,21.8948,17.7,2.70,28095.6,"1,229",15.98,733,87,2.6,117.0,287333.4,16.6,0.944
CE 457 x 77.2,98.7,457,15.2,104,15.9,29,37,77.2,64,21.7932,20.2,2.76,26097.7,"1,141",16.28,678,82,2.6,84.5,264507.8,17.0,0.939
CE 457 x 68.2,87.1,457,12.7,102,15.9,29,37,68.2,64,21.9964,23.1,2.83,24058.2,"1,052",16.64,620,78,2.7,60.4,240876.7,17.4,0.933
CE 457 x 63.5,81.3,457,11.4,100,15.9,29,37,63.5,64,22.2758,24.6,2.87,23059.2,"1,008",16.87,595,76,2.7,51.2,228792.6,17.7,0.93
CE 330 x 74.4,94.8,330,20.0,112,15.5,29,37,74.4,64,24.7396,20.7,1.90,13069.7,791,11.73,683,78,2.7,123.2,149843.0,12.9,0.875
CE 330 x 59.5,76.1,330,14.2,106,15.5,29,37,59.5,64,24.4602,26.2,2.00,11363.1,687,12.24,570,69,2.7,64.5,124063.6,13.5,0.859
CE 330 x 52.1,66.5,330,11.4,103,15.5,29,37,52.1,64,24.892,29.5,2.06,10489.0,636,12.57,512,65,2.8,47.0,110636.8,14.0,0.849
CE 330 x 47.3,60.3,330,9.5,102,15.5,29,37,47.3,64,25.4,31.5,2.10,9947.9,601,12.83,475,62,2.8,39.0,102043.6,14.3,0.842
