OC 508 x 12.7  ,508,484,1.18,154.77,183.87,56607,2229,17.55,113215
OC 508 x 9.5  ,508,490,0.89,117.12,138.71,43288,1704,17.65,86576
OC 457 x 12.7  ,457,434,1.18,139.14,165.16,40999,1786,15.75,81998
OC 457 x 9.5  ,457,439,0.89,105.21,125.16,31384,1373,15.85,62851
OC 406 x 12.7  ,406,383,1.18,123.22,146.45,28512,1404,13.94,57024
OC 406 x 11.1  ,406,386,1.03,108.49,128.39,25224,1242,14,50364
OC 406 x 9.5  ,406,389,0.89,93.16,110.97,21894,1077,14.05,43704
OC 406 x 7.9  ,406,392,0.74,77.83,92.9,18439,908,14.1,36878
OC 356 x 12.7  ,356,332,1.18,107.45,127.74,18855,1062,12.17,37752
OC 356 x 9.5  ,356,338,0.89,81.25,96.77,14526,816,12.27,29053
OC 356 x 7.9  ,356,341,0.74,68.01,80.65,12279,690,12.32,24516
OC 324 x 12.7  ,324,300,1.18,97.47,115.48,14110,872,11.05,28220
OC 324 x 9.5  ,324,306,0.89,73.81,87.74,10905,672,11.15,21769
OC 324 x 6.4  ,324,312,0.59,49.7,59.1,7492,462,11.25,14943
OC 318 x 15.9  ,318,288,1.48,118.01,140.64,16108,1016,10.72,32216
OC 318 x 12.7  ,318,294,1.18,95.39,113.55,13278,836,10.82,26556
OC 318 x 9.5  ,318,300,0.89,72.32,85.81,10239,646,10.92,20479
OC 318 x 7.9  ,318,303,0.74,60.57,72.26,8658,546,10.97,17315
OC 318 x 6.4  ,318,306,0.59,48.66,57.94,7034,442,11.02,14069
OC 318 x 4.8  ,318,309,0.44,36.76,43.48,5328,336,11.07,10656
OC 286 x 15.9  ,286,256,1.48,105.66,125.81,11571,810,9.6,23142
OC 286 x 12.7  ,286,262,1.18,85.57,101.94,9532,669,9.7,19105
OC 286 x 9.5  ,286,268,0.89,64.88,77.42,7409,518,9.8,14776
OC 286 x 7.9  ,286,271,0.74,54.32,64.52,6285,439,9.86,12529
OC 286 x 6.4  ,286,274,0.59,43.75,52,5078,357,9.91,10198
OC 286 x 4.8  ,286,277,0.44,33.04,39.03,3867,270,9.96,7742
OC 273 x 12.7  ,273,249,1.18,81.55,96.77,8283,606,9.25,16566
OC 273 x 6.4  ,273,261,0.59,41.82,49.68,4412,324,9.45,8866
OC 254 x 15.9  ,254,224,1.48,93.16,110.97,7950,628,8.48,15942
OC 254 x 12.7  ,254,230,1.18,75.6,89.68,6618,519,8.59,13195
OC 254 x 9.5  ,254,236,0.89,57.44,68.39,5120,405,8.66,10281
OC 254 x 7.9  ,254,239,0.74,48.07,57.29,4370,342,8.71,8699
OC 254 x 6.4  ,254,242,0.59,38.84,46.13,3550,280,8.76,7118
OC 254 x 4.8  ,254,245,0.44,29.32,34.65,2697,213,8.81,5411
OC 244 x 12.7  ,244,221,1.18,72.62,86.45,5869,479,8.23,11696
OC 244 x 9.5  ,244,227,0.89,55.21,65.81,4579,374,8.33,9115
OC 244 x 7.9  ,244,230,0.74,46.28,55.03,3871,316,8.38,7742
OC 244 x 6.4  ,244,233,0.59,37.35,44.32,3159,259,8.43,6327
OC 244 x 4.8  ,244,236,0.44,28.28,33.35,2402,197,8.48,4787
OC 222 x 12.7  ,222,199,1.18,65.63,78.06,4329,390,7.44,8658
OC 222 x 9.5  ,222,205,0.89,50,59.42,3388,305,7.54,6785
OC 222 x 7.9  ,222,207,0.74,41.82,49.87,2884,259,7.59,5786
OC 222 x 6.4  ,222,210,0.59,33.78,40.19,2356,211,7.65,4703
OC 222 x 4.8  ,222,213,0.44,25.6,30.26,1794,162,7.7,3588
OC 219 x 12.7  ,219,195,1.18,64.59,76.77,4142,379,7.34,8283
OC 219 x 9.5  ,219,201,0.89,49.26,58.52,3238,295,7.44,6493
OC 219 x 8.2  ,219,204,0.76,42.56,50.65,2835,259,7.49,5661
OC 219 x 6.4  ,219,207,0.59,33.33,39.61,2252,205,7.54,4495
OC 219 x 4.8  ,219,210,0.44,25.3,29.81,1719,157,7.59,3434
OC 194 x 3.2  ,194,188,0.29,14.88,17.68,803,83,6.76,1607
OC 191 x 12.7  ,191,167,1.18,55.66,66.45,2660,279,6.32,5328
OC 191 x 9.5  ,191,173,0.89,42.56,50.58,2089,220,6.43,4162
OC 191 x 7.9  ,191,176,0.74,35.72,42.52,1786,187,6.48,3571
OC 191 x 6.4  ,191,179,0.59,28.87,34.32,1465,154,6.53,2926
OC 191 x 4.8  ,191,182,0.44,21.88,25.81,1120,117,6.58,2239
OC 178 x 12.7  ,178,154,1.18,51.64,61.61,2131,239,5.89,4246
OC 178 x 9.5  ,178,160,0.89,39.59,47.03,1682,190,5.97,3367
OC 178 x 7.9  ,178,163,0.74,33.19,39.55,1440,162,6.02,2876
OC 178 x 6.4  ,178,166,0.59,26.79,31.94,1182,133,6.07,2364
OC 178 x 4.8  ,178,169,0.44,20.39,24.06,903,102,6.12,1811
OC 178 x 3.2  ,178,172,0.29,13.68,16.19,620,70,6.17,1236
OC 175 x 12.7  ,175,151,1.18,50.75,60.39,2010,231,5.77,4025
OC 175 x 9.5  ,175,157,0.89,38.84,46.19,1590,182,5.87,3180
OC 175 x 7.9  ,175,160,0.74,32.59,38.84,1361,156,5.92,2722
OC 175 x 6.4  ,175,163,0.59,26.34,31.35,1116,128,5.97,2235
OC 175 x 4.8  ,175,166,0.44,19.94,23.61,857,98,6.02,1711
OC 168 x 12.7  ,168,145,1.18,48.66,58.06,1786,213,5.54,3575
OC 168 x 11  ,168,148,1.02,42.56,50.84,1594,190,5.59,3188
OC 168 x 9.5  ,168,151,0.89,37.35,44.39,1415,169,5.64,2830
OC 168 x 7.9  ,168,153,0.74,31.4,37.35,1211,144,5.69,2422
OC 168 x 7.1  ,168,155,0.66,28.28,33.68,1103,131,5.72,2202
OC 168 x 6.4  ,168,156,0.59,25.3,30.19,995,118,5.74,1994
OC 168 x 4.8  ,168,159,0.44,19.2,22.77,766,91,5.79,1528
OC 168 x 3.2  ,168,162,0.29,12.93,15.29,524,62,5.84,1045
OC 156 x 12.7  ,156,132,1.18,44.79,53.35,1386,179,5.11,2776
OC 156 x 9.5  ,156,138,0.89,34.38,40.84,1103,142,5.21,2206
OC 156 x 7.9  ,156,141,0.74,28.87,34.39,945,122,5.26,1894
OC 156 x 6.4  ,156,144,0.59,23.36,27.81,778,100,5.28,1561
OC 156 x 4.8  ,156,147,0.44,17.71,20.97,599,77,5.33,1199
OC 152 x 12.7  ,152,129,1.18,43.75,52.19,1299,170,4.98,2597
OC 152 x 9.5  ,152,135,0.89,33.48,40,1032,136,5.08,2069
OC 152 x 7.9  ,152,138,0.74,28.28,33.68,887,117,5.13,1773
OC 152 x 7.1  ,152,139,0.66,25.45,30.39,807,106,5.16,1615
OC 152 x 6.4  ,152,141,0.59,22.92,27.23,733,96,5.18,1465
OC 152 x 4.8  ,152,144,0.44,17.41,20.52,562,74,5.23,1124
OC 152 x 3.2  ,152,147,0.29,11.68,13.81,386,51,5.28,774
OC 141 x 9.5  ,141,124,0.89,30.95,36.9,812,115,4.7,1623
OC 141 x 6.6  ,141,129,0.61,21.73,26,595,84,4.78,1190
OC 141 x 4.8  ,141,132,0.44,16.07,19.03,445,63,4.85,891
OC 141 x 3.4  ,141,135,0.32,11.58,13.81,329,47,4.88,658
OC 140 x 12.7  ,140,116,1.18,39.73,47.48,978,140,4.55,1956
OC 140 x 9.5  ,140,122,0.89,30.51,36.45,783,112,4.65,1565
OC 140 x 6.6  ,140,127,0.61,21.58,25.68,574,82,4.72,1149
OC 127 x 12.7  ,127,103,1.18,35.86,42.71,716,113,4.09,1432
OC 127 x 9.5  ,127,109,0.89,27.53,32.9,579,91,4.19,1153
OC 127 x 7.9  ,127,112,0.74,23.22,27.74,499,78,4.24,999
OC 127 x 6.6  ,127,115,0.61,19.49,23.23,425,67,4.27,853
OC 127 x 6.4  ,127,115,0.59,18.9,22.52,414,65,4.29,828
OC 127 x 4.8  ,127,118,0.44,14.39,17.03,320,50,4.34,641
OC 127 x 3.2  ,127,121,0.29,9.69,11.48,221,35,4.39,441
OC 114 x 8.6  ,114,98,0.8,22.32,26.71,380,66,3.76,758
