OR 813 x 813 x 16,813,813,15.9,386.67,492.90,511964.7,12634.5,32.26,511964.7,12634.5,32.26,14584.5,14584.5,819975.9
OR 813 x 813 x 13,813,813,12.7,313.59,399.35,420393.7,10389.4,32.51,420393.7,10389.4,32.51,11913.4,11913.4,661808.0
OR 813 x 813 x 10,813,813,9.5,237.17,301.93,322579.4,7947.7,32.77,322579.4,7947.7,32.77,9062.1,9062.1,499477.7
OR 762 x 762 x 16,762,762,15.9,361.36,460.64,420393.7,11028.5,30.23,420393.7,11028.5,30.23,12749.2,12749.2,674294.9
OR 762 x 762 x 13,762,762,12.7,293.33,373.55,346304.5,9094.8,30.48,346304.5,9094.8,30.48,10438.6,10438.6,541100.9
OR 762 x 762 x 10,762,762,9.5,221.97,282.58,265139.4,6948.1,30.73,265139.4,6948.1,30.73,7947.7,7947.7,410820.4
OR 711 x 711 x 16,711,711,15.9,336.03,428.39,338812.4,9537.3,28.19,338812.4,9537.3,28.19,11044.9,11044.9,545263.2
OR 711 x 711 x 13,711,711,12.7,273.08,347.74,280123.7,7865.8,28.45,280123.7,7865.8,28.45,9045.7,9045.7,441205.3
OR 711 x 711 x 10,711,711,9.5,206.78,263.23,214359.2,6030.5,28.45,214359.2,6030.5,28.45,6899.0,6899.0,333401.4
OR 660 x 660 x 16,660,660,15.9,310.71,396.13,268885.5,8144.4,26.16,268885.5,8144.4,26.16,9455.4,9455.4,437043.0
OR 660 x 660 x 13,660,660,12.7,252.82,321.93,222683.8,6735.1,26.42,222683.8,6735.1,26.42,7767.5,7767.5,350883.1
OR 660 x 660 x 10,660,660,9.5,191.59,243.87,171071.1,5178.3,26.42,171071.1,5178.3,26.42,5932.1,5932.1,266388.1
OR 610 x 610 x 16,610,610,15.9,285.40,363.87,209364.4,6866.2,23.98,209364.4,6866.2,23.98,7980.5,7980.5,340477.3
OR 610 x 610 x 13,610,610,12.7,232.57,296.13,173568.5,5702.7,24.21,173568.5,5702.7,24.21,6571.2,6571.2,275129.0
OR 610 x 610 x 10,610,610,9.5,176.39,224.52,133610.3,4391.7,24.38,133610.3,4391.7,24.38,5030.8,5030.8,208948.2
OR 559 x 559 x 16,559,559,15.9,260.07,331.61,159000.4,5686.3,21.89,159000.4,5686.3,21.89,6653.2,6653.2,260560.9
