TR 559 x 249.3,317,559,26,406,45,65,249,89906,2147,17,14,24974,1234,9,1544,116545,22,1
TR 554 x 215.8,277,554,22,401,40,60,216,76587,1819,17,13,21769,1083,9,1070,74922,22,1
TR 551 x 194.9,249,551,20,401,36,56,195,68678,1639,17,13,19272,964,9,783,54781,22,1
TR 546 x 171.1,218,546,18,401,31,51,171,59937,1452,17,13,16566,828,9,516,37326,22,1
TR 546 x 441.2,563,546,45,424,82,112,441,137773,3425,16,14,52445,2474,10,9199,628374,21,1
TR 533 x 374.3,477,533,39,417,70,100,374,113631,2868,15,14,42456,2048,9,5786,381321,21,1
TR 539 x 346.7,441,539,42,321,75,105,347,115296,3032,16,16,20978,1308,7,5786,365209,21,1
TR 523 x 320.7,409,523,34,411,60,90,321,95317,2425,15,13,35088,1704,9,3671,236580,21,1
TR 521 x 295.4,377,521,31,409,56,86,295,86160,2196,15,13,32091,1568,9,2939,181799,20,1
TR 528 x 291.7,372,528,36,315,64,94,292,94485,2507,16,15,16691,1064,7,3563,215366,21,1
TR 516 x 276.8,353,516,29,409,52,82,277,80333,2065,15,13,29552,1449,9,2414,150112,20,1
TR 516 x 269.4,344,516,28,406,51,81,269,77835,1999,15,12,28762,1414,9,2256,137222,20,1
TR 518 x 246.3,314,518,31,310,54,84,246,78252,2098,16,15,13403,867,7,2189,130240,21,1
TR 518 x 243.3,310,518,30,307,54,84,243,76587,2048,16,14,13319,864,7,2139,120573,21,1
TR 511 x 241.1,308,511,25,404,46,76,241,68678,1770,15,12,25348,1255,9,1648,97210,20,1
TR 509 x 238.8,303,509,25,404,45,75,239,67846,1753,15,12,24807,1227,9,1569,93988,20,1
TR 505 x 221,282,505,24,401,42,72,221,62435,1621,15,12,22726,1131,9,1270,74922,20,1
TR 511 x 206.9,264,511,26,305,46,76,207,64100,1737,16,14,10822,713,6,1340,74653,20,1
TR 503 x 206.1,263,503,21,401,40,70,206,56607,1452,15,11,21727,1080,9,1070,58541,20,1
TR 508 x 196.4,250,508,24,302,44,74,196,60354,1626,16,14,10239,677,6,1161,62569,20,1
TR 500 x 185.3,237,500,19,401,36,66,185,50364,1301,15,11,19272,964,9,791,42429,20,1
TR 503 x 174.9,223,503,21,302,40,70,175,52445,1404,15,13,9240,611,6,857,41892,20,1
TR 495 x 160,205,495,17,401,31,61,160,42872,1114,15,11,16566,828,9,516,27122,19,1
TR 500 x 157,200,500,19,300,36,66,157,46618,1257,15,13,8117,541,6,633,30345,20,1
TR 490 x 148.1,188,490,17,401,27,57,148,41124,1090,15,11,14443,723,9,380,22423,20,1
TR 495 x 136.2,174,495,17,300,31,61,136,39875,1078,15,13,6993,467,6,416,19361,20,1
TR 485 x 129.5,165,485,17,400,21,51,129,37752,1045,15,12,11280,564,8,233,17535,21,1
TR 490 x 124.3,159,490,17,300,26,56,124,37419,1044,15,13,5869,392,6,291,16891,20,1
TR 485 x 110.9,141,485,16,300,21,51,111,33923,978,15,14,4745,318,6,194,13937,21,1
TR 539 x 631,806,539,64,461,115,144,631,176898,4539,15,15,94485,4113,11,25890,1847527,21,1
TR 533 x 593.8,755,533,60,457,109,133,594,163579,4211,15,15,87409,3835,11,21769,1530654,20,1
TR 513 x 483.7,616,513,50,447,90,114,484,126118,3327,14,13,67013,2999,10,12237,808293,20,1
TR 498 x 392.1,499,498,41,437,74,98,392,97398,2606,14,12,51613,2376,10,6785,421601,19,1
TR 485 x 326.7,416,485,35,432,62,86,327,78668,2130,14,12,41457,1917,10,4008,240071,19,1
TR 480 x 292.4,373,480,31,427,56,80,292,69094,1885,14,11,36503,1704,10,2934,171057,19,1
TR 475 x 267.1,340,475,28,424,51,75,267,62435,1704,14,11,32716,1540,10,2248,128897,19,1
TR 470 x 244.1,311,470,26,422,47,71,244,56191,1542,13,11,29594,1401,10,1744,97479,19,1
TR 467 x 223.2,285,467,24,424,43,67,223,51196,1411,13,10,26972,1275,10,1332,74653,19,1
TR 465 x 208.3,266,465,22,422,40,64,208,47450,1311,13,10,24932,1183,10,1091,60689,18,1
TR 460 x 193.5,246,460,21,422,37,61,193,44121,1231,13,10,22685,1078,10,862,48605,19,1
TR 475 x 190.5,243,475,24,310,44,63,190,50364,1432,14,12,10989,708,7,1099,55050,19,1
TR 457 x 182.3,232,457,20,419,34,58,182,41415,1163,13,10,21103,1006,10,720,40549,18,1
TR 472 x 172.6,220,472,22,307,40,59,173,44953,1286,14,12,9740,633,7,820,40549,19,1
TR 457 x 171.1,218,457,19,419,32,56,171,38876,1098,13,10,19563,934,9,595,33567,18,1
TR 465 x 156.3,199,465,21,310,35,54,156,40999,1198,14,12,8574,554,7,579,31956,19,1
TR 462 x 144.4,184,462,19,307,32,51,144,37502,1098,14,12,7784,506,7,462,24893,19,1
TR 462 x 135.4,173,462,18,307,30,49,135,35172,1034,14,12,7242,472,6,383,20838,19,1
TR 460 x 126.5,161,460,17,305,28,47,126,32716,965,14,12,6660,436,6,313,16971,19,1
TR 457 x 119.1,152,457,17,305,26,45,119,30801,914,14,12,6119,403,6,257,14394,19,1
TR 455 x 111.6,143,455,16,305,24,43,112,29053,870,14,12,5619,369,6,210,12353,19,1
TR 452 x 100.5,128,452,15,305,20,39,100,26514,814,14,13,4703,310,6,145,10016,19,1
TR 457 x 288,368,457,32,411,58,78,288,60770,1753,13,11,33715,1639,10,3076,165150,18,1
TR 452 x 263.4,336,452,29,409,53,73,263,54943,1586,13,11,30343,1485,9,2377,125675,18,1
TR 447 x 236.6,302,447,26,406,48,68,237,48283,1406,13,10,26847,1322,9,1752,89960,18,1
TR 442 x 216.5,276,442,24,404,44,64,217,44121,1283,13,10,24183,1198,9,1353,68745,18,1
TR 439 x 195.7,250,439,22,401,40,60,196,39251,1150,13,10,21519,1073,9,1011,50485,17,1
TR 434 x 179.3,229,434,21,404,36,56,179,36295,1078,13,10,19396,964,9,749,39206,18,1
TR 432 x 164.4,210,432,20,401,32,52,164,33257,996,13,10,17482,872,9,579,30345,18,1
TR 427 x 149.6,191,427,18,399,29,49,150,30177,909,13,10,15609,780,9,433,22799,17,1
TR 429 x 125.7,160,429,17,292,31,49,126,27013,837,13,11,6452,442,6,367,14877,17,1
TR 424 x 113.1,145,424,16,295,27,45,113,24641,777,13,11,5661,387,6,256,11547,17,1
TR 424 x 104.9,134,424,15,292,24,42,105,22976,733,13,11,5120,349,6,201,9506,17,1
TR 419 x 96.7,124,419,15,292,22,40,97,21353,690,13,11,4537,310,6,153,7868,18,1
TR 417 x 87.8,112,417,14,292,19,37,88,19521,642,13,11,3892,267,6,110,6284,18,1
TR 434 x 354.9,452,434,41,403,75,95,355,64516,1983,12,11,41082,2032,10,6285,314187,17,1
TR 422 x 290.9,372,422,35,396,62,82,291,50780,1588,12,10,32216,1626,9,3592,170789,17,1
TR 417 x 265.6,339,417,31,394,57,77,266,45369,1429,12,10,28845,1468,9,2772,128360,16,1
TR 411 x 242.6,309,411,29,391,52,72,243,40832,1291,11,10,25890,1327,9,2131,96941,16,1
TR 406 x 217.3,277,406,26,389,47,67,217,35838,1141,11,9,22851,1178,9,1561,69014,16,1
TR 401 x 194.2,248,401,24,386,42,62,194,31842,1023,11,9,19979,1037,9,1120,49411,16,1
TR 399 x 174.9,223,399,21,384,38,58,175,28054,903,11,9,17773,931,9,837,35715,16,1
TR 394 x 157,201,394,20,384,34,53,157,25390,828,11,9,15734,821,9,587,25887,16,1
TR 389 x 142.1,181,389,18,381,30,50,142,22851,749,11,8,13985,733,9,437,19120,16,1
